Date,Open,High,Low,Close,Adj Close,Volume
2018-06-25,48.650002,48.790001,47.459999,47.930000,41.426178,14684200
2018-06-26,47.939999,48.049999,47.110001,47.790001,41.305176,12097800
2018-06-27,47.939999,48.500000,47.189999,47.189999,40.786591,11635900
2018-06-28,47.250000,48.549999,47.220001,48.290001,41.737316,14183300
2018-06-29,48.980000,49.270000,47.380001,47.400002,40.968094,13592200
2018-07-02,46.959999,47.770000,46.770000,47.720001,41.244671,8655100
2018-07-03,47.869999,47.889999,46.939999,47.020000,40.639652,5037800
2018-07-05,47.290001,47.490002,46.400002,46.700001,40.363075,10577300
2018-07-06,46.529999,47.290001,46.279999,47.090000,40.700157,7269300
2018-07-09,47.290001,48.500000,47.290001,48.410000,41.841038,9412500
2018-07-10,48.430000,48.650002,47.990002,48.099998,41.573101,9238800
2018-07-11,47.639999,48.070000,47.590000,47.750000,41.270599,6089500
2018-07-12,48.000000,48.270000,47.799999,48.020000,41.503952,7774700
2018-07-13,48.080002,48.400002,47.480000,48.080002,41.555820,9747600
2018-07-16,48.220001,49.090000,48.200001,48.900002,42.264553,8724000
2018-07-17,49.000000,49.450001,48.490002,49.180000,42.506554,11138300
2018-07-18,50.750000,51.500000,50.049999,50.560001,43.699295,18407300
2018-07-19,50.500000,50.970001,49.779999,49.849998,43.085636,11363600
2018-07-20,49.650002,50.590000,49.590000,50.270000,43.448643,8910000
2018-07-23,50.270000,51.000000,50.250000,50.740002,43.854862,7728900
2018-07-24,50.980000,51.529999,50.840000,50.980000,44.062298,7254900
2018-07-25,50.980000,51.110001,50.410000,51.040001,44.114166,7483100
2018-07-26,51.220001,51.360001,50.919998,50.990002,44.070950,5524900
2018-07-27,51.090000,51.299999,50.730000,51.049999,44.122807,7252100
2018-07-30,50.880001,51.310001,50.430000,50.900002,44.253220,10123700
2018-07-31,50.959999,51.020000,50.220001,50.560001,43.957607,9714900
2018-08-01,50.939999,51.180000,50.040001,50.180000,43.627235,9194600
2018-08-02,49.810001,50.029999,49.250000,49.810001,43.305557,7882500
2018-08-03,49.970001,50.160000,49.730000,49.910000,43.392494,5426100
2018-08-06,49.889999,50.119999,49.570000,49.990002,43.462059,5086900
2018-08-07,50.150002,50.840000,50.099998,50.130001,43.583771,5632300
2018-08-08,50.130001,50.380001,49.959999,50.119999,43.575066,5884100
2018-08-09,50.099998,50.250000,49.410000,49.439999,42.983868,7583400
2018-08-10,48.880001,48.889999,48.139999,48.389999,42.070988,14321600
2018-08-13,48.340000,48.480000,47.279999,47.349998,41.166786,11445900
2018-08-14,47.500000,48.040001,47.400002,47.860001,41.610195,8695500
2018-08-15,47.259998,47.590000,47.020000,47.450001,41.253738,9496100
2018-08-16,47.830002,48.590000,47.799999,48.299999,41.992729,8264500
2018-08-17,48.169998,48.610001,48.169998,48.369999,42.053589,5854500
2018-08-20,48.330002,48.590000,48.150002,48.290001,41.984047,7898200
2018-08-21,48.119999,48.939999,48.009998,48.540001,42.201401,9632000
2018-08-22,48.360001,48.660000,48.240002,48.599998,42.253559,4952000
2018-08-23,48.419998,48.720001,47.980000,48.130001,41.844944,7699300
2018-08-24,48.340000,48.610001,48.099998,48.139999,41.853626,5620600
2018-08-27,48.480000,50.099998,48.419998,49.889999,43.375099,13317400
2018-08-28,50.049999,50.430000,49.880001,50.000000,43.470745,7419100
2018-08-29,50.000000,50.189999,49.580002,49.950001,43.427277,7856700
2018-08-30,49.770000,49.889999,49.200001,49.299999,42.862156,11399900
2018-08-31,49.090000,49.090000,48.570000,48.830002,42.453529,7698400
2018-09-04,48.860001,48.910000,48.180000,48.709999,42.349201,8548700
2018-09-05,48.650002,49.049999,48.509998,48.720001,42.357887,5527500
2018-09-06,48.549999,48.820000,47.680000,47.930000,41.671055,7990500
2018-09-07,48.020000,48.400002,47.880001,48.220001,41.923191,7285200
2018-09-10,48.369999,48.470001,47.910000,47.939999,41.679745,4925000
2018-09-11,47.709999,48.040001,47.389999,47.860001,41.610195,5011700
2018-09-12,47.790001,48.099998,47.259998,47.480000,41.279816,6231800
2018-09-13,47.730000,48.099998,47.500000,47.720001,41.488480,8380100
2018-09-14,47.889999,48.509998,47.849998,48.189999,41.897102,6955500
2018-09-17,48.500000,48.540001,47.560001,47.680000,41.453701,6726500
2018-09-18,47.860001,48.040001,47.549999,47.849998,41.601505,7082500
2018-09-19,47.880001,49.360001,47.880001,49.099998,42.688278,12489100
2018-09-20,49.750000,50.369999,49.709999,49.880001,43.366409,11810000
2018-09-21,49.930000,49.970001,49.150002,49.410000,42.957794,21450400
2018-09-24,49.369999,49.450001,48.480000,48.560001,42.218788,7917600
2018-09-25,48.700001,49.189999,48.250000,48.279999,41.975353,9007500
2018-09-26,48.360001,48.490002,47.540001,47.700001,41.471096,8443100
2018-09-27,47.830002,48.160000,47.549999,47.770000,41.531960,12204900
2018-09-28,47.419998,47.549999,46.400002,46.570000,40.488651,14187300
2018-10-01,46.919998,47.310001,46.520000,46.630001,40.540810,9710100
2018-10-02,46.700001,46.959999,46.150002,46.630001,40.540810,9589100
2018-10-03,47.169998,47.730000,46.980000,47.110001,40.958138,8985300
2018-10-04,47.380001,47.930000,46.970001,47.270000,41.097240,7722200
2018-10-05,47.380001,47.529999,46.500000,46.750000,40.645149,7938900
2018-10-08,46.509998,47.220001,46.299999,47.020000,40.879890,7054500
2018-10-09,46.700001,46.810001,45.939999,46.160000,40.132202,9999500
2018-10-10,46.340000,46.410000,44.520000,44.619999,38.793297,14143800
2018-10-11,44.180000,44.779999,43.169998,43.490002,37.810856,21746900
2018-10-12,44.299999,44.570000,42.880001,43.430000,37.758698,16049300
2018-10-15,43.419998,43.770000,43.070000,43.470001,37.793465,11986800
2018-10-16,45.740002,46.200001,44.480000,45.939999,39.940918,24174900
2018-10-17,45.959999,47.840000,45.529999,47.189999,41.027683,22121900
2018-10-18,46.910000,47.490002,45.750000,46.029999,40.019173,14873900
2018-10-19,46.070000,46.730000,45.639999,46.419998,40.358242,14931200
2018-10-22,46.430000,46.720001,45.090000,45.110001,39.219311,11166700
2018-10-23,44.020000,44.810001,43.310001,44.520000,38.706345,15095300
2018-10-24,44.790001,44.799999,43.330002,43.490002,37.810856,15067400
2018-10-25,43.959999,44.959999,43.950001,44.549999,38.732433,13838500
2018-10-26,43.770000,44.520000,43.250000,43.970001,38.228172,12997100
2018-10-29,44.590000,45.080002,43.290001,43.950001,38.210789,12869800
2018-10-30,44.000000,44.590000,43.560001,44.500000,38.954872,14780300
2018-10-31,45.139999,46.340000,45.110001,45.660000,39.970322,16928300
2018-11-01,45.820000,46.200001,45.450001,45.889999,40.171658,8679900
2018-11-02,46.500000,46.950001,45.540001,45.950001,40.224182,10478800
2018-11-05,46.020000,46.360001,45.630001,45.820000,40.110386,12318900
2018-11-06,45.779999,46.070000,45.290001,45.720001,40.022846,10737300
2018-11-07,46.189999,46.810001,45.630001,46.610001,40.801937,9951200
2018-11-08,46.330002,46.849998,46.200001,46.430000,40.644371,9484100
2018-11-09,46.360001,46.439999,45.650002,45.730000,40.031597,10017900
2018-11-12,45.520000,45.849998,43.919998,44.130001,38.630970,14302000
2018-11-13,43.610001,45.130001,43.430000,44.680000,39.112442,12346100
2018-11-14,45.090000,46.750000,43.049999,43.849998,38.385860,13265200
2018-11-15,43.349998,44.470001,43.099998,44.299999,38.779797,14057400
2018-11-16,43.990002,44.340000,43.470001,44.130001,38.630970,9775000
2018-11-19,44.169998,44.790001,44.040001,44.410000,38.876087,9856700
2018-11-20,43.889999,44.009998,42.540001,43.099998,37.729317,16035600
2018-11-21,43.290001,44.230000,43.150002,43.730000,38.280819,7961900
2018-11-23,43.279999,43.610001,43.049999,43.080002,37.711819,4822400
2018-11-26,43.720001,44.700001,43.720001,44.279999,38.762276,8862900
2018-11-27,44.020000,44.400002,43.830002,44.049999,38.560928,8035900
2018-11-28,44.290001,45.529999,43.669998,45.310001,39.663933,12380800
2018-11-29,44.900002,45.090000,44.320000,44.509998,38.963615,9202900
2018-11-30,44.380001,44.610001,43.910000,44.389999,38.858566,11282500
2018-12-03,45.070000,46.139999,45.000000,45.410000,39.751469,15437000
2018-12-04,45.049999,45.169998,42.320000,43.119999,37.746838,18401400
2018-12-06,41.650002,42.730000,40.980000,42.610001,37.300377,17552400
2018-12-07,42.430000,43.060001,40.950001,41.320000,36.171124,15499400
2018-12-10,41.090000,41.419998,39.560001,40.709999,35.637135,16323200
2018-12-11,41.520000,41.880001,40.180000,40.619999,35.558350,13619400
2018-12-12,41.110001,41.759998,40.799999,40.810001,35.724674,14207600
2018-12-13,40.880001,41.119999,40.330002,40.599998,35.540844,15964600
2018-12-14,40.070000,40.939999,39.529999,39.639999,34.700462,17332200
2018-12-17,39.290001,40.660000,39.020000,39.599998,34.665447,15786300
2018-12-18,39.950001,40.820000,39.639999,39.889999,34.919315,14538300
2018-12-19,39.900002,41.080002,38.840000,39.299999,34.402836,19412300
2018-12-20,38.889999,39.660000,38.560001,38.910000,34.061440,27520300
2018-12-21,38.410000,39.720001,37.490002,37.680000,32.984711,21528400
2018-12-24,37.610001,38.000000,36.740002,37.009998,32.398193,11444400
2018-12-26,37.279999,39.400002,36.779999,39.299999,34.402836,16814200
2018-12-27,38.480000,39.770000,38.330002,39.660000,34.717979,13897900
2018-12-28,39.939999,40.000000,38.939999,39.369999,34.464115,12854200
2018-12-31,39.669998,40.080002,39.070000,39.650002,34.709229,9518100
2019-01-02,39.020000,40.720001,38.759998,40.400002,35.365761,10648000
2019-01-03,40.220001,40.220001,39.250000,39.680000,34.735489,13034500
2019-01-04,40.500000,41.580002,40.279999,41.299999,36.153622,14371600
2019-01-07,41.509998,42.160000,40.980000,41.709999,36.512527,11812400
2019-01-08,42.299999,42.410000,41.080002,41.450001,36.284927,11398200
2019-01-09,41.910000,42.209999,41.250000,41.740002,36.538788,9223000
2019-01-10,41.380001,41.959999,41.240002,41.660000,36.468750,7560800
2019-01-11,41.279999,41.869999,40.959999,41.740002,36.538788,8191900
2019-01-14,41.310001,42.790001,41.119999,42.480000,37.186573,12336300
2019-01-15,42.209999,42.990002,42.029999,42.880001,37.536736,11737000
2019-01-16,44.000000,45.110001,43.669998,44.490002,38.946117,30530400
2019-01-17,42.450001,43.180000,41.610001,42.529999,37.230350,47037200
2019-01-18,43.020000,43.770000,42.560001,43.689999,38.245796,20614400
2019-01-22,42.419998,42.740002,41.930000,42.410000,37.125305,20202400
2019-01-23,42.520000,42.619999,41.660000,42.150002,36.897697,15583900
2019-01-24,41.950001,42.580002,41.840000,42.049999,36.810162,13421600
2019-01-25,42.669998,43.250000,42.549999,42.980000,37.624271,13422700
2019-01-28,42.439999,42.730000,42.060001,42.650002,37.335403,10396600
2019-01-29,42.529999,42.700001,42.110001,42.490002,37.195332,9916400
2019-01-30,42.349998,42.970001,42.070000,42.790001,37.724297,12347900
2019-01-31,42.299999,42.669998,42.180000,42.299999,37.292305,11163400
2019-02-01,42.299999,42.730000,41.790001,41.820000,36.869129,13322100
2019-02-04,41.900002,42.459999,41.680000,42.459999,37.433376,8715300
2019-02-05,42.380001,42.560001,42.220001,42.450001,37.424557,9971500
2019-02-06,42.299999,42.849998,42.090000,42.380001,37.362843,9744000
2019-02-07,42.110001,42.180000,41.040001,41.480000,36.569382,12745400
2019-02-08,41.029999,41.340000,40.119999,40.810001,35.978699,13993900
2019-02-11,41.000000,41.080002,40.189999,40.209999,35.449730,17058300
2019-02-12,40.650002,41.500000,40.650002,41.150002,36.278446,12400800
2019-02-13,41.500000,42.029999,41.160000,41.189999,36.313713,9528300
2019-02-14,40.810001,41.529999,40.279999,40.720001,35.899357,10414200
2019-02-15,41.160000,42.080002,41.130001,41.990002,37.019016,13289700
2019-02-19,41.580002,42.279999,41.430000,42.160000,37.168877,9401700
